route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
64026,,460,WOODS CROSS,,3,,3333CC,FFFFFF
64027,,461,BOUNTIFUL via STATE CAPITOL,,3,,3333CC,FFFFFF
64028,,462,NORTH SALT LAKE,,3,,3333CC,FFFFFF
64029,,463,WEST BOUNTIFUL,,3,,3333CC,FFFFFF
64030,,47,4700 SOUTH,,3,,3333CC,FFFFFF
64031,,470,OGDEN - SALT LAKE INTERCITY,,3,,3333CC,FFFFFF
64032,,471,CENTERVILLE,,3,,3333CC,FFFFFF
64033,,472,OGDEN - SALT LAKE EXPRESS,,3,,3333CC,FFFFFF
64034,,473,SLC - OGDEN HWY 89 EXPRESS,,3,,3333CC,FFFFFF
64035,,477,PARC CENTER / DAVIS COUNTY SHUTTLE,,3,,3333CC,FFFFFF
